model,model_size,variable,horizon_quarters,optimization_horizon,rmse,n,baseline_rmse,relative_rmse_pct
mango_mdd,medium,CONS,1,,20.145883563167335,80,20.168791266650285,-0.11357995221473047
mango_mdd,medium,CONS,2,,19.88104559305673,80,19.92055405272378,-0.19833012456623247
mango_mdd,medium,CONS,3,,19.652886991358308,80,19.710155856028692,-0.2905551081822986
mango_mdd,medium,CONS,4,,19.36352110110822,80,19.42768610975415,-0.3302761238957516
mango_mdd,medium,CONS,5,,19.082047806547838,80,19.147218672085778,-0.34036727032814973
mango_mdd,medium,CONS,6,,18.83204102522961,80,18.898639180404423,-0.3523965643191211
mango_mdd,medium,CONS,7,,18.599738818565825,80,18.665748500696512,-0.353640691817015
mango_mdd,medium,CONS,8,,18.376321713696193,80,18.433970986916634,-0.31273388279366154
mango_mdd,medium,DEFL,1,,20.283302437451763,80,20.272556094735002,0.05300931301678249
mango_mdd,medium,DEFL,2,,20.291032110757317,80,20.269339344473718,0.1070225620822433
mango_mdd,medium,DEFL,3,,20.311045521370858,80,20.272417286068627,0.19054577832104855
mango_mdd,medium,DEFL,4,,20.351492944776144,80,20.28984209298869,0.3038508210409332
mango_mdd,medium,DEFL,5,,20.412792309129355,80,20.324803690537184,0.43291251385191126
mango_mdd,medium,DEFL,6,,20.5029845451971,80,20.3827390873314,0.5899376788884894
mango_mdd,medium,DEFL,7,,20.61839996825744,80,20.461173982774127,0.7684113610278517
mango_mdd,medium,DEFL,8,,20.75726498845178,80,20.5593748269395,0.9625300534575562
mango_mdd,medium,FFR,1,,0.40811687696339605,80,0.386216414588759,5.670515686899672
mango_mdd,medium,FFR,2,,0.7807183943984131,80,0.7369271893055616,5.942405942996602
mango_mdd,medium,FFR,3,,1.139112339821133,80,1.0527304834264868,8.20550537431818
mango_mdd,medium,FFR,4,,1.460763450037551,80,1.32600560371342,10.162690560790063
mango_mdd,medium,FFR,5,,1.747342113588896,80,1.568998462135831,11.366719328092332
mango_mdd,medium,FFR,6,,2.0181808979509954,80,1.8043446318621341,11.851187534400028
mango_mdd,medium,FFR,7,,2.259438073408152,80,2.0121591741907157,12.289231507586422
mango_mdd,medium,FFR,8,,2.457209690060529,80,2.1910608831485474,12.147029275130253
mango_mdd,medium,GDP,1,,22.941546520145202,80,22.963201672886147,-0.09430371709234993
mango_mdd,medium,GDP,2,,22.604670571138637,80,22.64913650631384,-0.1963250791605589
mango_mdd,medium,GDP,3,,22.25210873928541,80,22.32739974618814,-0.3372135034021657
mango_mdd,medium,GDP,4,,21.88338727437211,80,21.972587716027586,-0.40596238735417056
mango_mdd,medium,GDP,5,,21.540738883031917,80,21.629288893485306,-0.40939862096002616
mango_mdd,medium,GDP,6,,21.236598919834464,80,21.32621556635523,-0.42021823441637024
mango_mdd,medium,GDP,7,,20.946594155495983,80,21.030535994742383,-0.399142652699794
mango_mdd,medium,GDP,8,,20.68444860855606,80,20.745808033181294,-0.29576782223712106
