forecast_origin,group,strategy,lambda1_1,lambda2_1,lambda3_1,lambda4_1,lambda5_1
1997-07-31,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1997-08-31,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1997-09-30,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1997-10-31,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1997-11-30,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1997-12-31,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1998-01-31,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1998-02-28,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1998-03-31,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1998-04-30,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1998-05-31,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1998-06-30,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1998-07-31,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1998-08-31,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1998-09-30,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1998-10-31,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1998-11-30,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1998-12-31,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1999-01-31,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1999-02-28,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1999-03-31,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1999-04-30,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1999-05-31,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1999-06-30,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1999-07-31,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1999-08-31,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1999-09-30,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1999-10-31,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1999-11-30,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
1999-12-31,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2000-01-31,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2000-02-29,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2000-03-31,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2000-04-30,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2000-05-31,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2000-06-30,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2000-07-31,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
